Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
30/1/2020,IN,India,SEARO,1,1,0,0
31/1/2020,IN,India,SEARO,4,5,0,0
1/2/2020,IN,India,SEARO,0,5,0,0
2/2/2020,IN,India,SEARO,0,5,0,0
3/2/2020,IN,India,SEARO,1,6,0,0
4/2/2020,IN,India,SEARO,4,10,0,0
5/2/2020,IN,India,SEARO,0,10,0,0
6/2/2020,IN,India,SEARO,0,10,0,0
7/2/2020,IN,India,SEARO,0,10,0,0
8/2/2020,IN,India,SEARO,0,10,0,0
9/2/2020,IN,India,SEARO,0,10,0,0
10/2/2020,IN,India,SEARO,0,10,0,0
11/2/2020,IN,India,SEARO,0,10,0,0
12/2/2020,IN,India,SEARO,0,10,0,0
13/2/2020,IN,India,SEARO,0,10,0,0
14/2/2020,IN,India,SEARO,0,10,0,0
15/2/2020,IN,India,SEARO,0,10,0,0
16/2/2020,IN,India,SEARO,0,10,0,0
17/2/2020,IN,India,SEARO,0,10,0,0
18/2/2020,IN,India,SEARO,0,10,0,0
19/2/2020,IN,India,SEARO,0,10,0,0
20/2/2020,IN,India,SEARO,0,10,0,0
21/2/2020,IN,India,SEARO,0,10,0,0
22/2/2020,IN,India,SEARO,0,10,0,0
23/2/2020,IN,India,SEARO,0,10,0,0
24/2/2020,IN,India,SEARO,0,10,0,0
25/2/2020,IN,India,SEARO,0,10,0,0
26/2/2020,IN,India,SEARO,0,10,0,0
27/2/2020,IN,India,SEARO,0,10,0,0
28/2/2020,IN,India,SEARO,0,10,0,0
29/2/2020,IN,India,SEARO,0,10,0,0
1/3/2020,IN,India,SEARO,0,10,0,0
2/3/2020,IN,India,SEARO,0,10,0,0
3/3/2020,IN,India,SEARO,4,14,0,0
4/3/2020,IN,India,SEARO,19,33,0,0
5/3/2020,IN,India,SEARO,1,34,0,0
6/3/2020,IN,India,SEARO,2,36,0,0
7/3/2020,IN,India,SEARO,3,39,0,0
8/3/2020,IN,India,SEARO,5,44,0,0
9/3/2020,IN,India,SEARO,5,49,0,0
10/3/2020,IN,India,SEARO,6,55,0,0
11/3/2020,IN,India,SEARO,10,65,0,0
12/3/2020,IN,India,SEARO,13,78,0,0
13/3/2020,IN,India,SEARO,8,86,1,1
14/3/2020,IN,India,SEARO,3,89,1,2
15/3/2020,IN,India,SEARO,23,112,0,2
16/3/2020,IN,India,SEARO,7,119,0,2
17/3/2020,IN,India,SEARO,23,142,1,3
18/3/2020,IN,India,SEARO,14,156,0,3
19/3/2020,IN,India,SEARO,22,178,1,4
20/3/2020,IN,India,SEARO,50,228,0,4
21/3/2020,IN,India,SEARO,60,288,0,4
22/3/2020,IN,India,SEARO,77,365,3,7
23/3/2020,IN,India,SEARO,74,439,2,9
24/3/2020,IN,India,SEARO,85,524,0,9
25/3/2020,IN,India,SEARO,87,611,1,10
26/3/2020,IN,India,SEARO,43,654,3,13
27/3/2020,IN,India,SEARO,75,729,4,17
28/3/2020,IN,India,SEARO,185,914,2,19
29/3/2020,IN,India,SEARO,70,984,6,25
30/3/2020,IN,India,SEARO,92,1076,4,29
31/3/2020,IN,India,SEARO,180,1256,3,32
1/4/2020,IN,India,SEARO,386,1642,6,38
2/4/2020,IN,India,SEARO,328,1970,12,50
3/4/2020,IN,India,SEARO,336,2306,6,56
4/4/2020,IN,India,SEARO,601,2907,12,68
5/4/2020,IN,India,SEARO,472,3379,9,77
6/4/2020,IN,India,SEARO,693,4072,32,109
7/4/2020,IN,India,SEARO,354,4426,5,114
8/4/2020,IN,India,SEARO,853,5279,35,149
9/4/2020,IN,India,SEARO,591,5870,20,169
10/4/2020,IN,India,SEARO,547,6417,30,199
11/4/2020,IN,India,SEARO,1035,7452,40,239
12/4/2020,IN,India,SEARO,909,8361,34,273
13/4/2020,IN,India,SEARO,796,9157,35,308
14/4/2020,IN,India,SEARO,1211,10368,31,339
15/4/2020,IN,India,SEARO,1076,11444,38,377
16/4/2020,IN,India,SEARO,941,12385,37,414
17/4/2020,IN,India,SEARO,1007,13392,23,437
18/4/2020,IN,India,SEARO,991,14383,43,480
19/4/2020,IN,India,SEARO,1334,15717,27,507
20/4/2020,IN,India,SEARO,1553,17270,36,543
21/4/2020,IN,India,SEARO,1336,18606,47,590
22/4/2020,IN,India,SEARO,1383,19989,50,640
23/4/2020,IN,India,SEARO,1409,21398,41,681
24/4/2020,IN,India,SEARO,1684,23082,37,718
25/4/2020,IN,India,SEARO,1429,24511,57,775
26/4/2020,IN,India,SEARO,1990,26501,49,824
27/4/2020,IN,India,SEARO,1396,27897,48,872
28/4/2020,IN,India,SEARO,1543,29440,62,934
29/4/2020,IN,India,SEARO,1897,31337,73,1007
30/4/2020,IN,India,SEARO,1718,33055,67,1074
1/5/2020,IN,India,SEARO,1993,35048,73,1147
2/5/2020,IN,India,SEARO,2293,37341,71,1218
